vehicle_year_name,vehicle_style,site_rating,vehicle_price,vehicle_mileage,vehicle_location,vehicle_ext_color,vehicle_int_color,vehicle_accident_count,vehicle_title_type,vehicle_mpg,vehicle_transmission,vehicle_fuel_type,vehicle_options_level,vehicle_engine,vehicle_drive_type,vehicle_usage_type
2019 Subaru Outback,2.5i Limited,Fair Price,"$27,000 ","11,337","Grapevine, TX",Ice Silver Metallic,Slate Black,0 reported accidents,Clean,25 cty / 32 hwy,Automatic,Gas,Standard,2.5L Flat-4 Gas,AWD,Personal or Rental Use
2017 Hyundai Santa Fe Sport,2.0T Ultimate AWD,Great Price,"$25,313 ","18,658","Bentonville, AR",Marlin Blue,Beige,0 reported accidents,Clean,19 cty / 24 hwy,Automatic,Gas,Fully Loaded,2.0L Inline-4 Gas Turbocharged,AWD,Personal or Rental Use
2016 Jeep Cherokee,Latitude 4WD,Fair Price,"$19,990 ","22,275","Oklahoma City, OK",Bright White Clearcoat,Black,0 reported accidents,Clean,21 cty / 28 hwy,Automatic,Gas,Standard,2.4L Inline-4 Gas,4WD,Personal or Rental Use
2018 Nissan Rogue Sport,2018.5 S FWD,Fair Price,"$16,994 ","54,165","Fort Smith, AR",Glacier White,Charcoal,0 reported accidents,Clean,25 cty / 32 hwy,Automatic,Gas,Minimal Options,2.0L Inline-4 Gas,FWD,Personal or Rental Use
2017 Cadillac XT5,FWD,Fair Price,"$22,000 ","33,080","Dallas, TX",Silver Coast Metallic,Sahara Beige,Frame Damaged,Clean,19 cty / 27 hwy,Automatic,Gas,Standard,3.6L V-6 Gas,FWD,Fleet or Mixed Use
2013 Chevrolet Equinox,LTZ FWD,Fair Price,"$15,990 ","44,509","Oklahoma City, OK",Champagne Silver Metallic,Brownstone/Jet Black,0 reported accidents,Clean,22 cty / 32 hwy,Automatic,Gas,Well Equipped,2.4L Inline-4 Gas,FWD,Personal or Rental Use
2019 Toyota RAV4,XLE FWD,Fair Price,"$23,896 ","34,857","Carrollton, TX",Magnetic Gray Metallic,Black,0 reported accidents,Clean,26 cty / 35 hwy,Automatic,Gas,Standard,2.5L Inline-4 Gas,FWD,Personal or Rental Use
2015 Lexus RX,RX 350 FWD,Fair Price,"$25,900 ","46,136","Plano, TX",Starfire Pearl,Parchment,0 reported accidents,Clean,18 cty / 25 hwy,Automatic,Gas,Standard,3.5L V-6 Gas,FWD,Personal or Rental Use
2019 Nissan Rogue,SL AWD,Fair Price,"$23,793 ","27,026","Tulsa, OK",Gun Metallic,Charcoal,0 reported accidents,Clean,25 cty / 32 hwy,Automatic,Gas,Minimal Options,2.5L Inline-4 Gas,AWD,Personal or Rental Use
2017 Jeep Cherokee,Sport FWD,Fair Price,"$17,495 ","45,032","Plano, TX",Bright White Clearcoat,Black,0 reported accidents,Clean,21 cty / 30 hwy,Automatic,Gas,Fully Loaded,3.2L V-6 Gas,FWD,Personal or Rental Use
2018 Toyota RAV4,Hybrid LE AWD,Fair Price,"$21,600 ","70,351","Tulsa, OK",Super White,Black,0 reported accidents,Clean,34 cty / 30 hwy,Automatic,Hybrid,Standard,2.5L Inline-4 Hybrid,AWD,Personal or Rental Use
2013 Chevrolet Tahoe,LT RWD,Fair Price,"$19,998 ","103,852","LINDALE, TX",Summit White,Ebony,1 reported accidents,Clean,15 cty / 21 hwy,Automatic,Gas,Fully Loaded,5.3L V-8 Gas,RWD,Personal or Rental Use
2017 Nissan Rogue,SL AWD,Fair Price,"$21,999 ","21,131","Muskogee, OK",Brilliant Silver,Charcoal,0 reported accidents,Clean,25 cty / 32 hwy,Automatic,Gas,Well Equipped,2.5L Inline-4 Gas,AWD,Fleet or Mixed Use
