vehicle_year_name,vehicle_style,site_rating,vehicle_price,vehicle_mileage,vehicle_location,vehicle_ext_color,vehicle_int_color,vehicle_accident_count,vehicle_title_type,vehicle_mpg,vehicle_transmission,vehicle_fuel_type,vehicle_options_level,vehicle_engine,vehicle_drive_type,vehicle_usage_type
2017 Subaru Forester,2.5i Premium CVT,Great Price,"$16,988 ","73,992","Bentonville, AR",Dark Gray Metallic,Gray,0 reported accidents,Clean,26 cty / 32 hwy,Automatic,Gas,Standard,2.5L Flat-4 Gas,AWD,Personal or Rental Use
2017 Ford Escape,SE FWD,Great Price,"$13,456 ","76,083","Tulsa, OK",Canyon Ridge Metallic,Medium Light Stone,0 reported accidents,Clean,23 cty / 30 hwy,Automatic,Gas,Minimal Options,1.5L Inline-4 Gas Turbocharged,FWD,Fleet or Mixed Use
2019 Ford Explorer,Limited FWD,Excellent Price,"$24,591 ","45,415","Carrolton, TX",Ingot Silver Metallic,Ebony Black,0 reported accidents,Clean,19 cty / 27 hwy,Automatic,Gas,Standard,3.5L V-6 Gas Turbocharged,FWD,Personal or Rental Use
2019 Kia Sorento,LX I4 AWD,Fair Price,"$24,590 ","3,100","Oklahoma City, OK",Titanium Silver,Satin Black,0 reported accidents,Clean,21 cty / 26 hwy,Automatic,Gas,Fully Loaded,2.4L Inline-4 Gas,AWD,Personal or Rental Use
2018 Alfa Romeo Stelvio,Ti Sport,Great Price,"$29,600 ","30,480","Yukon, OK",Stromboli Gray Metallic,Black,0 reported accidents,Clean,22 cty / 28 hwy,Automatic,Gas,Standard,2.0L Inline-4 Gas Turbocharged,AWD,Personal or Rental Use
2018 Toyota RAV4,LE AWD,Great Price,"$20,292 ","54,196","Dallas, TX",Silver Sky Metallic,Black,0 reported accidents,Clean,22 cty / 28 hwy,Automatic,Gas,NA,2.5L Inline-4 Gas,AWD,Personal or Rental Use
2014 Nissan Rogue,SL AWD,Fair Price,"$15,990 ","69,131","Oklahoma City, OK",Moonlight White,Charcoal,0 reported accidents,Clean,25 cty / 32 hwy,Automatic,Gas,Well Equipped,2.5L Inline-4 Gas,AWD,Personal or Rental Use
2019 Ford Edge,Titanium AWD,Excellent Price,"$26,997 ","31,473","Amarillo, TX",Ingot Silver Metallic,Unknown,0 reported accidents,Clean,21 cty / 28 hwy,Automatic,Gas,Standard,2.0L Inline-4 Gas Turbocharged,AWD,Personal or Rental Use
2017 Toyota Highlander,Limited V6 FWD,Great Price,"$28,965 ","64,342","Altus, OK",Midnight Black Metallic,Saddle Tan,0 reported accidents,Clean,21 cty / 27 hwy,Automatic,Gas,NA,3.5L V-6 Gas,FWD,Personal or Rental Use
2017 Ford Edge,SE FWD,Fair Price,"$18,998 ","20,426","Midwest City, OK",Oxford White,Dune,0 reported accidents,Clean,21 cty / 29 hwy,Automatic,Gas,Fully Loaded,2.0L Inline-4 Gas Turbocharged,FWD,Personal or Rental Use
2018 Audi Q3,Premium FWD,Great Price,"$23,691 ","44,234","Dallas, TX",Florett Silver Metallic,Black,0 reported accidents,Clean,20 cty / 28 hwy,Automatic,Gas,Fully Loaded,2.0L Inline-4 Gas Turbocharged,FWD,Personal or Rental Use
2017 Chevrolet Traverse,LT with 1LT FWD,Fair Price,"$22,701 ","28,728","Shawnee, OK",Summit White,Ebony,0 reported accidents,Clean,15 cty / 22 hwy,Automatic,Gas,Well Equipped,3.6L V-6 Gas,FWD,Fleet or Mixed Use
2017 Hyundai Tucson,Limited AWD,Great Price,"$19,286 ","31,108","Irving, TX",Black Noir Pearl,Beige,2 reported accidents,Clean,24 cty / 28 hwy,Automatic,Gas,Fully Loaded,1.6L Inline-4 Gas Turbocharged,AWD,Fleet or Mixed Use
2014 Subaru Outback,2.5i Limited Auto,Fair Price,"$18,590 ","44,979","Oklahoma City, OK",Twilight Blue Metallic,Warm Ivory,0 reported accidents,Clean,24 cty / 30 hwy,Automatic,Gas,Standard,2.5L Flat-4 Gas,AWD,Personal or Rental Use
2014 Ford Explorer,XLT 4WD,Great Price,"$16,997 ","96,682","Joplin, MO",Sterling Gray Metallic,Charcoal Black,0 reported accidents,Clean,17 cty / 23 hwy,Automatic,Gas,Standard,3.5L V-6 Gas,4WD,Personal or Rental Use
2011 Ford Edge,Limited FWD,Great Price,"$10,995 ","114,618","Arlington, TX",White Platinum Metallic Tri-Coat,Medium Light Stone,1 reported accidents,Clean,19 cty / 27 hwy,Automatic,Gas,Standard,3.5L V-6 Gas,FWD,Fleet or Mixed Use
2010 Toyota Highlander,Limited V6 FWD,Excellent Price,"$11,750 ","125,921","Arlington, TX",Black,Tan,1 reported accidents,Clean,18 cty / 24 hwy,Automatic,Gas,Standard,3.5L V-6 Gas,FWD,Personal or Rental Use
2015 Jeep Grand Cherokee,Limited RWD,Great Price,"$19,950 ","58,571","Grand Prairie, TX",Deep Cherry Red Crystal Pearlcoat,Black,0 reported accidents,Clean,17 cty / 25 hwy,Automatic,Gas,Minimal Options,3.6L V-6 Gas,RWD,Personal or Rental Use
2013 Honda CR-V,LX AWD,Great Price,"$8,975 ","140,455","Lake Worth, TX",Gray,Unknown,2 reported accidents,Clean,22 cty / 30 hwy,Automatic,Gas,Standard,2.4L Inline-4 Gas,AWD,Personal or Rental Use
2014 Jeep Grand Cherokee,Summit 4WD,Great Price,"$21,523 ","94,783","Tulsa, OK",Deep Cherry Red Crystal Pearlcoat,Brown,0 reported accidents,Clean,17 cty / 24 hwy,Automatic,Gas,Standard,3.6L V-6 Gas,4WD,Personal or Rental Use
2014 Chevrolet Traverse,LT with 2LT FWD,Fair Price,"$12,701 ","97,744","Norman, OK",Silver Ice Metallic,Ebony,1 reported accidents,Clean,17 cty / 24 hwy,Automatic,Gas,Minimal Options,3.6L V-6 Gas,FWD,Fleet or Mixed Use
2014 Subaru XV Crosstrek,2.0i Limited Automatic,Fair Price,"$17,990 ","58,279","Oklahoma City, OK",Desert Khaki,Black,0 reported accidents,Clean,25 cty / 33 hwy,Automatic,Gas,Well Equipped,2.0L Flat-4 Gas,AWD,Personal or Rental Use
2018 Nissan Murano,SV FWD,Excellent Price,"$19,299 ","32,812","Arlington, TX",Magnetic Black Metallic,Graphite,0 reported accidents,Clean,21 cty / 28 hwy,Automatic,Gas,Minimal Options,3.5L V-6 Gas,FWD,Personal or Rental Use
2018 Buick Encore,Preferred FWD,Fair Price,"$17,990 ","10,388","Oklahoma City, OK",Coppertino Metallic,Ebony,0 reported accidents,Clean,25 cty / 33 hwy,Automatic,Gas,Standard,1.4L Inline-4 Gas Turbocharged,FWD,Personal or Rental Use
2019 Jeep Compass,Trailhawk 4WD,Great Price,"$20,598 ","32,121","Arlington, TX",Diamond Black Crystal Pearlcoat,Ruby Red/Black,0 reported accidents,Clean,22 cty / 30 hwy,Automatic,Gas,Minimal Options,2.4L Inline-4 Gas,4WD,Personal or Rental Use
2019 Dodge Journey,SE FWD,Fair Price,"$20,590 ","8,619","Oklahoma City, OK",Granite Pearlcoat,Black,0 reported accidents,Clean,19 cty / 25 hwy,Automatic,Gas,Standard,2.4L Inline-4 Gas,FWD,Personal or Rental Use
2015 Lexus NX,NX 200t FWD,Great Price,"$20,988 ","84,519","Tulsa, OK",Black,Flaxen,0 reported accidents,Clean,22 cty / 28 hwy,Automatic,Gas,Standard,2.0L Inline-4 Gas Turbocharged,FWD,Personal or Rental Use
2019 Hyundai Santa Fe XL,SE FWD,Fair Price,"$25,590 ","17,465","Oklahoma City, OK",Monaco White,Beige,0 reported accidents,Clean,18 cty / 25 hwy,Automatic,Gas,Minimal Options,3.3L V-6 Gas,FWD,Personal or Rental Use
2018 INFINITI QX60,3.5 AWD,Fair Price,"$26,990 ","50,070","Oklahoma City, OK",Hagane Blue,Graphite,0 reported accidents,Clean,19 cty / 26 hwy,Automatic,Gas,Minimal Options,3.5L V-6 Gas,AWD,Fleet or Mixed Use
2016 Jeep Grand Cherokee,Limited RWD,Fair Price,"$16,377 ","92,562","Norman, OK",Brilliant Black Crystal Pearlcoat,Black,0 reported accidents,Clean,19 cty / 26 hwy,Automatic,Gas,Minimal Options,3.6L V-6 Gas,RWD,Personal or Rental Use
2018 Toyota RAV4,SE FWD,Fair Price,"$22,990 ","56,324","Oklahoma City, OK",Super White,Black,0 reported accidents,Clean,23 cty / 29 hwy,Automatic,Gas,Standard,2.5L Inline-4 Gas,FWD,Personal or Rental Use
2017 Mazda CX-5,Touring FWD,Fair Price,"$18,840 ","48,734","Yukon, OK",Soul Red Crystal Metallic,Silk Beige,0 reported accidents,Clean,24 cty / 31 hwy,Automatic,Gas,Standard,2.5L Inline-4 Gas,FWD,Personal or Rental Use
2017 BMW X3,sDrive28i RWD,Excellent Price,"$23,999 ","32,725","Carrollton, TX",Glacier Silver Metallic,Unknown,0 reported accidents,Clean,21 cty / 28 hwy,Automatic,Gas,NA,2.0L Inline-4 Gas Turbocharged,RWD,Personal or Rental Use
2018 Ford Escape,SE FWD,Great Price,"$16,957 ","18,243","Corinth, TX",Gray,Medium Light Stone,0 reported accidents,Clean,23 cty / 30 hwy,Automatic,Gas,NA,1.5L Inline-4 Gas Turbocharged,FWD,Personal or Rental Use
2015 Audi Q5,Premium Plus 3.0L TDI quattro,Great Price,"$15,000 ","152,994","Broken Arrow, OK",Brilliant Black,Black,1 reported accidents,Clean,24 cty / 31 hwy,Automatic,Diesel,NA,3.0L V-6 Diesel Turbocharged,AWD,Personal or Rental Use
2019 Dodge Journey,SE FWD,Great Price,"$18,995 ","12,840","Springdale, AR",Pitch Black Clearcoat,Black,0 reported accidents,Clean,19 cty / 25 hwy,Automatic,Gas,Standard,2.4L Inline-4 Gas,FWD,Personal or Rental Use
2019 Nissan Rogue,SV FWD,Great Price,"$19,900 ","17,438","Fort Worth, TX",Gun Metallic,Charcoal,0 reported accidents,Clean,26 cty / 33 hwy,Automatic,Gas,Fully Loaded,2.5L Inline-4 Gas,FWD,Personal or Rental Use
2018 Buick Encore,Essence FWD,Excellent Price,"$14,629 ","46,262","Grapevine, TX",Coastal Blue Metallic,Ebony,0 reported accidents,Clean,25 cty / 33 hwy,Automatic,Gas,Standard,1.4L Inline-4 Gas Turbocharged,FWD,Personal or Rental Use
2019 Ford EcoSport,SES 4WD,Great Price,"$16,350 ","33,425","Yukon, OK",Gray,Ebony Black,0 reported accidents,Clean,23 cty / 29 hwy,Automatic,Gas,Standard,2.0L Inline-4 Gas,4WD,Personal or Rental Use
2013 Ford Explorer,Limited FWD,Excellent Price,"$12,900 ","130,050","Burkburnett, TX",Tuxedo Black Metallic,Charcoal Black,0 reported accidents,Clean,17 cty / 24 hwy,Automatic,Gas,Standard,3.5L V-6 Gas,FWD,Personal or Rental Use
2017 Hyundai Santa Fe Sport,Base 2.4L FWD,Fair Price,"$18,900 ","25,659","Yukon, OK",Marlin Blue,Beige,0 reported accidents,Clean,21 cty / 27 hwy,Automatic,Gas,Fully Loaded,2.4L Inline-4 Gas,FWD,Fleet or Mixed Use
2019 Chevrolet Equinox,LT with 1LT FWD,Great Price,"$16,999 ","33,044","Arlington, TX",Summit White,Medium Ash Gray,0 reported accidents,Clean,26 cty / 32 hwy,Automatic,Gas,Minimal Options,1.5L Inline-4 Gas Turbocharged,FWD,Personal or Rental Use
2019 INFINITI QX60,2019.5 PURE FWD,Excellent Price,"$27,888 ","23,956","Dallas, TX",Liquid Platinum,Graphite,0 reported accidents,Clean,20 cty / 27 hwy,Automatic,Gas,Well Equipped,3.5L V-6 Gas,FWD,Personal or Rental Use
2017 Mazda CX-5,Grand Touring FWD,Great Price,"$21,999 ","28,795","Richardson, TX",Snowflake White Pearl Mica,Black,0 reported accidents,Clean,24 cty / 31 hwy,Automatic,Gas,Minimal Options,2.5L Inline-4 Gas,FWD,Personal or Rental Use
2018 Honda CR-V,LX AWD,Fair Price,"$21,743 ","27,589","Norman, OK",Gray,Black,0 reported accidents,Clean,25 cty / 31 hwy,Automatic,Gas,NA,2.4L Inline-4 Gas,AWD,Personal or Rental Use
2019 Nissan Rogue,SV FWD,Great Price,"$15,484 ","49,185","Irving, TX",Caspian Blue Metallic,Charcoal,0 reported accidents,Clean,26 cty / 33 hwy,Automatic,Gas,Standard,2.5L Inline-4 Gas,FWD,Personal or Rental Use
2018 Toyota RAV4,Hybrid XLE AWD,Fair Price,"$24,990 ","43,748","Oklahoma City, OK",Gray,Black,0 reported accidents,Clean,34 cty / 30 hwy,Automatic,Hybrid,Standard,2.5L Inline-4 Hybrid,AWD,Personal or Rental Use
2019 Nissan Pathfinder,SV 4WD,Great Price,"$21,807 ","36,396","Frisco, TX",Magnetic Black Pearl,Charcoal,1 reported accidents,Clean,19 cty / 26 hwy,Automatic,Gas,Standard,3.5L V-6 Gas,4WD,Personal or Rental Use
2016 Acura RDX,FWD,Great Price,"$14,984 ","101,810","Arlington, TX",Crystal Black Pearl,Ebony,1 reported accidents,Clean,20 cty / 29 hwy,Automatic,Gas,Standard,3.5L V-6 Gas,FWD,Personal or Rental Use
2014 Jeep Cherokee,Limited 4WD,Excellent Price,"$16,685 ","55,915","Granbury, TX",Bright White Clearcoat,Black,0 reported accidents,Clean,21 cty / 28 hwy,Automatic,Gas,Fully Loaded,3.2L V-6 Gas,4WD,Personal or Rental Use
2017 Nissan Murano,2017.5 S AWD,Excellent Price,"$18,953 ","30,148","Frisco, TX",Gun Metallic,Graphite,0 reported accidents,Clean,21 cty / 28 hwy,Automatic,Gas,Well Equipped,3.5L V-6 Gas,AWD,Personal or Rental Use
2017 Nissan Rogue,SV AWD,Fair Price,"$15,985 ","55,958","Midwest City, OK",Brilliant Silver,Charcoal,2 reported accidents,Clean,25 cty / 32 hwy,Automatic,Gas,Well Equipped,2.5L Inline-4 Gas,AWD,Fleet or Mixed Use
2014 Nissan Pathfinder,Platinum FWD,Fair Price,"$16,990 ","94,666","Oklahoma City, OK",Moonlight White,Almond,0 reported accidents,Clean,20 cty / 26 hwy,Automatic,Gas,Well Equipped,3.5L V-6 Gas,FWD,Personal or Rental Use
2016 Mercedes-Benz GLC,GLC 300 RWD,Great Price,"$29,899 ","22,673","Dallas, TX",Selenite Grey Metallic,Black,0 reported accidents,Clean,22 cty / 28 hwy,Automatic,Gas,Standard,2.0L Inline-4 Gas Turbocharged,RWD,Personal or Rental Use
2015 Chevrolet Suburban,LT 4WD,Great Price,"$25,130 ","121,090","Dallas, TX",Champagne Silver Metallic,Jet Black,0 reported accidents,Clean,15 cty / 22 hwy,Automatic,Gas,Minimal Options,5.3L V-8 Gas,4WD,Personal or Rental Use
2014 Nissan Rogue,S FWD,Excellent Price,"$11,699 ","54,426","Plano, TX",Midnight Jade,Charcoal,0 reported accidents,Clean,26 cty / 33 hwy,Automatic,Gas,Minimal Options,2.5L Inline-4 Gas,FWD,Personal or Rental Use
2017 Subaru Crosstrek,2.0i Limited CVT,Great Price,"$19,946 ","26,209","Plano, TX",Dark Gray Metallic,Black,1 reported accidents,Clean,26 cty / 33 hwy,Automatic,Gas,Minimal Options,2.0L Flat-4 Gas,AWD,Personal or Rental Use
2018 Buick Envision,Premium II AWD,Great Price,"$25,590 ","33,105","Oklahoma City, OK",Galaxy Silver Metallic,Ebony,0 reported accidents,Clean,20 cty / 26 hwy,Automatic,Gas,Minimal Options,2.0L Inline-4 Gas Turbocharged,AWD,Personal or Rental Use
2011 Buick Enclave,CXL-1 AWD,Excellent Price,"$8,999 ","127,184","Grapevine, TX",Cocoa Metallic,Cashmere With Cocoa Accents,0 reported accidents,Clean,16 cty / 22 hwy,Automatic,Gas,Minimal Options,3.6L V-6 Gas,AWD,Personal or Rental Use
2009 Lexus RX,RX 350 FWD,Excellent Price,"$10,975 ","96,286","Keller, TX",Golden Almond Metallic,Ivory,0 reported accidents,Clean,18 cty / 23 hwy,Automatic,Gas,Standard,3.5L V-6 Gas,FWD,Personal or Rental Use
2018 Ford Edge,SE AWD,Great Price,"$19,500 ","37,915","Yukon, OK",Shadow Black,Ebony,0 reported accidents,Clean,20 cty / 27 hwy,Automatic,Gas,Fully Loaded,2.0L Inline-4 Gas Turbocharged,AWD,Fleet or Mixed Use
2012 Honda CR-V,EX-L FWD,Great Price,"$13,999 ","79,456","Wichita, KS",Blue,Tan,0 reported accidents,Clean,23 cty / 31 hwy,Automatic,Gas,Standard,2.4L Inline-4 Gas,FWD,Personal or Rental Use
2019 Hyundai Tucson,SE AWD,Great Price,"$17,984 ","39,375","Joplin, MO",Dazzling White,Gray,0 reported accidents,Clean,22 cty / 25 hwy,Automatic,Gas,Minimal Options,2.0L Inline-4 Gas,AWD,Personal or Rental Use
2017 Toyota RAV4,XLE FWD,Fair Price,"$20,740 ","25,048","Yukon, OK",Black,Black,0 reported accidents,Clean,23 cty / 30 hwy,Automatic,Gas,NA,2.5L Inline-4 Gas,FWD,Personal or Rental Use
2017 Chevrolet Traverse,LS with 1LS FWD,Great Price,"$16,981 ","73,266","Tulsa, OK",Blue Velvet Metallic,Dark Titanium/Light Titanium,0 reported accidents,Clean,15 cty / 22 hwy,Automatic,Gas,Minimal Options,3.6L V-6 Gas,FWD,Personal or Rental Use
2016 Dodge Journey,SXT AWD,Excellent Price,"$9,487 ","108,201","McKinney, TX",White,Black,1 reported accidents,Clean,16 cty / 24 hwy,Automatic,Gas,Standard,3.6L V-6 Gas,AWD,Personal or Rental Use
2017 Nissan Pathfinder,SL 4WD,Fair Price,"$23,420 ","32,506","Yukon, OK",Magnetic Black Metallic,Charcoal,0 reported accidents,Clean,19 cty / 26 hwy,Automatic,Gas,Well Equipped,3.5L V-6 Gas,4WD,Fleet or Mixed Use
2016 Ford Escape,Titanium 4WD,Fair Price,"$18,990 ","35,103","Oklahoma City, OK",Ruby Red Metallic Tinted Clearcoat,Medium Light Stone,0 reported accidents,Clean,22 cty / 29 hwy,Automatic,Gas,Well Equipped,2.0L Inline-4 Gas Turbocharged,4WD,Personal or Rental Use
2012 Hyundai Veracruz,Limited FWD,Excellent Price,"$8,499 ","100,968","Denton, TX",Boulder Gray,Beige,0 reported accidents,Clean,17 cty / 22 hwy,Automatic,Gas,Minimal Options,3.8L V-6 Gas,FWD,Personal or Rental Use
2018 Toyota RAV4,XLE FWD,Great Price,"$20,920 ","39,246","Arlington, TX",Silver Sky Metallic,Black,0 reported accidents,Clean,23 cty / 30 hwy,Automatic,Gas,NA,2.5L Inline-4 Gas,FWD,Personal or Rental Use
2017 Chevrolet Trax,LS AWD,Great Price,"$12,498 ","56,545","McKinney, TX",Silver Ice Metallic,Jet Black,0 reported accidents,Clean,24 cty / 30 hwy,Automatic,Gas,Standard,1.4L Inline-4 Gas Turbocharged,AWD,Personal or Rental Use
2017 GMC Acadia Limited,FWD,Great Price,"$20,977 ","90,490","Denton, TX",Iridium Metallic,Light Titanium,0 reported accidents,Clean,15 cty / 22 hwy,Automatic,Gas,Well Equipped,3.6L V-6 Gas,FWD,Personal or Rental Use
2011 Mercedes-Benz M-Class,ML 350 4MATIC,Fair Price,"$15,990 ","80,359","Oklahoma City, OK",Black,Black,0 reported accidents,Clean,15 cty / 20 hwy,Automatic,Gas,Standard,3.5L V-6 Gas,AWD,Fleet or Mixed Use
2019 Volkswagen Atlas,V6 SE 3.6L 4MOTION,Great Price,"$26,980 ","30,804","Irving, TX",Pure White,Titan Black,0 reported accidents,Clean,17 cty / 23 hwy,Automatic,Gas,Minimal Options,3.6L V-6 Gas,AWD,Personal or Rental Use
2015 Jeep Renegade,Limited 4WD,Fair Price,"$16,030 ","46,441","Yukon, OK",Alpine White,Black,0 reported accidents,Clean,21 cty / 29 hwy,Automatic,Gas,Well Equipped,2.4L Inline-4 Gas,4WD,Personal or Rental Use
2016 Jeep Cherokee,Limited FWD,Excellent Price,"$16,300 ","48,051","Rockwall, TX",Granite Crystal Metallic Clearcoat,Black,0 reported accidents,Clean,22 cty / 31 hwy,Automatic,Gas,Fully Loaded,2.4L Inline-4 Gas,FWD,Personal or Rental Use
2013 Ford Escape,SE FWD,Great Price,"$8,950 ","97,462","Garland, TX",Frosted Glass Metallic,Medium Light Stone,0 reported accidents,Clean,23 cty / 33 hwy,Automatic,Gas,Standard,1.6L Inline-4 Gas Turbocharged,FWD,Fleet or Mixed Use
2018 Nissan Kicks,SV,Excellent Price,"$14,800 ","18,668","Grapevine, TX",Cayenne Red,Charcoal,0 reported accidents,Clean,31 cty / 36 hwy,Automatic,Gas,Standard,1.6L Inline-4 Gas Turbocharged,FWD,Personal or Rental Use
2013 Ford Explorer,Sport 4WD,Great Price,"$20,916 ","52,340","Dallas, TX",Tuxedo Black Metallic,Charcoal Black,0 reported accidents,Clean,16 cty / 22 hwy,Automatic,Gas,Standard,3.5L V-6 Gas Turbocharged,4WD,Personal or Rental Use
2017 Nissan Rogue,2017.5 SL FWD,Great Price,"$18,720 ","29,902","Yukon, OK",Pearl White,Charcoal,0 reported accidents,Clean,26 cty / 33 hwy,Automatic,Gas,Minimal Options,2.5L Inline-4 Gas,FWD,Fleet or Mixed Use
2019 Toyota C-HR,XLE FWD,Fair Price,"$20,990 ","17,721","Oklahoma City, OK",Black,Black,0 reported accidents,Clean,27 cty / 31 hwy,Automatic,Gas,Standard,2.0L Inline-4 Gas,FWD,Personal or Rental Use
2011 Mercedes-Benz M-Class,ML 350 4MATIC,Great Price,"$9,995 ","141,337","Dallas, TX",Diamond White Metallic,Black,0 reported accidents,Clean,15 cty / 20 hwy,Automatic,Gas,Standard,3.5L V-6 Gas,AWD,Personal or Rental Use
2019 Toyota Highlander,LE V6 AWD,Great Price,"$28,199 ","29,865","Greenville, TX",Celestial Silver Metallic,Ash,0 reported accidents,Clean,19 cty / 26 hwy,Automatic,Gas,Standard,3.5L V-6 Gas,AWD,Personal or Rental Use
2017 Volkswagen Tiguan,SEL FWD,Great Price,"$18,900 ","34,495","Yukon, OK",Reflex Silver Metallic,Charcoal Black,0 reported accidents,Clean,20 cty / 24 hwy,Automatic,Gas,Standard,2.0L Inline-4 Gas Turbocharged,FWD,Fleet or Mixed Use
2017 Dodge Journey,GT AWD,Excellent Price,"$17,880 ","19,153","Denton, TX",Granite Pearlcoat,Black/Red,0 reported accidents,Clean,16 cty / 24 hwy,Automatic,Gas,Standard,3.6L V-6 Gas,AWD,Fleet or Mixed Use
2017 Jeep Compass,High Altitude 4WD,Excellent Price,"$15,470 ","38,935","Denton, TX",Granite Crystal Metallic Clearcoat,Dark Slate Gray,0 reported accidents,Clean,20 cty / 25 hwy,Automatic,Gas,Standard,2.4L Inline-4 Gas,4WD,Fleet or Mixed Use
2018 Jeep Grand Cherokee,Limited RWD,Great Price,"$26,277 ","50,585","Decatur, TX",Bright White Clearcoat,Black,0 reported accidents,Clean,19 cty / 26 hwy,Automatic,Gas,Well Equipped,3.6L V-6 Gas,RWD,Personal or Rental Use
2015 Jeep Wrangler,Unlimited Sport,Fair Price,"$27,948 ","78,248","Edmond, OK",Billet Silver Metallic Clearcoat,Black,0 reported accidents,Clean,16 cty / 21 hwy,Automatic,Gas,Standard,3.6L V-6 Gas,4WD,Personal or Rental Use
2017 Toyota 4Runner,SR5 RWD,Excellent Price,"$29,811 ","55,097","Denison, TX",Super White,Unknown,0 reported accidents,Clean,17 cty / 21 hwy,Automatic,Gas,Standard,4.0L V-6 Gas,RWD,Personal or Rental Use
2018 Toyota Highlander,LE V6 FWD,Great Price,"$24,900 ","49,336","DeSoto, TX",Predawn Gray Mica,Black,0 reported accidents,Clean,20 cty / 27 hwy,Automatic,Gas,NA,3.5L V-6 Gas,FWD,Personal or Rental Use
2012 Honda CR-V,LX 4WD,Great Price,"$10,220 ","110,735","Richardson, TX",Taffeta White,Gray,1 reported accidents,Clean,22 cty / 30 hwy,Automatic,Gas,Standard,2.4L Inline-4 Gas,4WD,Personal or Rental Use
2017 Nissan Rogue,SL FWD,Great Price,"$15,997 ","83,318","Denton, TX",Caspian Blue,Almond,0 reported accidents,Clean,26 cty / 33 hwy,Automatic,Gas,Well Equipped,2.5L Inline-4 Gas,FWD,Personal or Rental Use
2017 Lincoln MKC,Reserve AWD,Great Price,"$23,090 ","30,360","Yukon, OK",Magnetic Gray Metallic,Black,0 reported accidents,Clean,19 cty / 25 hwy,Automatic,Gas,Standard,2.3L Inline-4 Gas Turbocharged,AWD,Personal or Rental Use
2014 Mazda CX-9,Grand Touring FWD,Excellent Price,"$13,500 ","70,815","Arlington, TX",Jet Black Mica,Sand,0 reported accidents,Clean,17 cty / 24 hwy,Automatic,Gas,Standard,3.7L V-6 Gas,FWD,Personal or Rental Use
2015 Hyundai Santa Fe Sport,Base 2.4L AWD,Excellent Price,"$14,900 ","41,941","Bentonville, AR",Serrano Red,Beige,1 reported accidents,Clean,19 cty / 25 hwy,Automatic,Gas,Well Equipped,2.4L Inline-4 Gas,AWD,Personal or Rental Use
2018 Chevrolet Traverse,LT Cloth with 1LT FWD,Great Price,"$24,932 ","42,565","Broken Arrow, OK",Sable Brown Metallic,Jet Black,1 reported accidents,Clean,18 cty / 27 hwy,Automatic,Gas,Fully Loaded,3.6L V-6 Gas,FWD,Fleet or Mixed Use
2017 Hyundai Tucson,SE FWD,Fair Price,"$15,980 ","36,258","Yukon, OK",Molten Silver,Gray,0 reported accidents,Clean,23 cty / 30 hwy,Automatic,Gas,Standard,2.0L Inline-4 Gas,FWD,Personal or Rental Use
2019 Hyundai Tucson,SE AWD,Great Price,"$17,984 ","40,616","Joplin, MO",Dusk Blue,Black,0 reported accidents,Clean,22 cty / 25 hwy,Automatic,Gas,Minimal Options,2.0L Inline-4 Gas,AWD,Personal or Rental Use
2019 Mitsubishi Outlander Sport,ES 2.0 FWD CVT,Great Price,"$15,300 ","29,758","Fort Worth, TX",Alloy Silver Metallic,Gray,0 reported accidents,Clean,24 cty / 30 hwy,Automatic,Gas,Standard,2.0L Inline-4 Gas,FWD,Personal or Rental Use
2017 INFINITI QX60,3.5 AWD,Great Price,"$24,000 ","60,692","Grapevine, TX",Graphite Shadow,Graphite,0 reported accidents,Clean,19 cty / 26 hwy,Automatic,Gas,Minimal Options,3.5L V-6 Gas,AWD,Personal or Rental Use
2015 Jeep Wrangler,Sahara,Fair Price,"$27,653 ","39,028","Norman, OK",Hydro Blue Pearl Coat,Dark Saddle/Black,1 reported accidents,Clean,17 cty / 21 hwy,Manual,Gas,Minimal Options,3.6L V-6 Gas,4WD,Personal or Rental Use
2017 Hyundai Tucson,Eco AWD,Great Price,"$17,987 ","22,747","Arkansas City, KS",Black Noir Pearl,Gray,0 reported accidents,Clean,25 cty / 30 hwy,Automatic,Gas,Standard,1.6L Inline-4 Gas Turbocharged,AWD,Fleet or Mixed Use
2019 Mazda CX-5,Touring AWD,Excellent Price,"$19,999 ","40,058","Richardson, TX",Sonic Silver Metallic,Black,0 reported accidents,Clean,24 cty / 30 hwy,Automatic,Gas,Standard,2.5L Inline-4 Gas,AWD,Personal or Rental Use
2017 Kia Sportage,EX FWD,Great Price,"$16,280 ","30,108","Yukon, OK",Hyper Red,Black,0 reported accidents,Clean,22 cty / 29 hwy,Automatic,Gas,Minimal Options,2.4L Inline-4 Gas,FWD,Fleet or Mixed Use
2017 FIAT 500X,Urbana Edition FWD,Great Price,"$12,981 ","59,461","Tulsa, OK",Bianco Gelato (White Clear Coat),Black,0 reported accidents,Clean,22 cty / 30 hwy,Automatic,Gas,NA,2.4L Inline-4 Gas,FWD,Personal or Rental Use
2017 Ford Explorer,XLT FWD,Great Price,"$21,820 ","78,531","Madill, OK",Magnetic Metallic,Dark Earth Gray,0 reported accidents,Clean,17 cty / 24 hwy,Automatic,Gas,Well Equipped,3.5L V-6 Gas,FWD,Personal or Rental Use
2019 Ford Edge,SE FWD,Great Price,"$23,590 ","7,208","Oklahoma City, OK",Blue Metallic,Black,0 reported accidents,Clean,22 cty / 29 hwy,Automatic,Gas,Standard,2.0L Inline-4 Gas Turbocharged,FWD,Personal or Rental Use
